status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
5281959998_10150911766579999,"A week later, a North Carolina law would have stopped the release of police videos of a Charlotte shooting.",Video of Charlotte Police Shooting Could Be the Last Released in North Carolina,link,http://nyti.ms/2dtOdqh,2016-09-26 10:55:00,21,30,13
5281959998_10150911774719999,Join Nicholas Kristof live as he takes questions about tonight's presidential debate.,Nicholas Kristof,video,https://www.facebook.com/kristof/videos/10154368097412891/,2016-09-26 10:48:26,167,17,0
5281959998_10150911663999999,"Hillary Clinton shouldn't waste her time in the debate explaining to people what a scoundrel Donald J. Trump is, Nicolle Wallace writes in The New York Times Opinion Section .",The Minivan vs. the Maserati,link,http://nyti.ms/2dtnEkU,2016-09-26 10:25:00,309,88,36
5281959998_10150911747074999,Join Alton Brown as he discusses his new cookbook with The New York Times Food's Kim Severson. Ask them your questions in the comments.,The New York Times Food,video,https://www.facebook.com/nytfood/videos/1256928001018331/,2016-09-26 10:10:14,339,31,0
5281959998_10150911601289999,"Either the lead pigeon recognizes that it has no clue and falls back into the flock, letting other birds take over, or the flock collectively decides that the direction that it is taking just doesn’t feel right, and it doesn’t follow.",Pigeons Resist Misguided Leaders,link,http://nyti.ms/2d2VZZK,2016-09-26 09:55:01,231,21,86
5281959998_10150911730929999,Where in the world is The New York Times - Travel's Lucas Peterson? Guess in the comments below and he will reveal his location at the end of his live tour of a Middle Eastern grocery store.,The New York Times - Travel,video,https://www.facebook.com/nytimestravel/videos/1192556820801420/,2016-09-26 09:45:59,428,61,0
5281959998_10150911724084999,"Roslyn Sulcas, a Times arts reporter, is at the Tate showing us the finalists for the Turner Prize in contemporary art. Send us your questions.",Video From The New York Times,video,https://www.facebook.com/nytvideo/videos/1759846834232831/,2016-09-26 09:33:51,453,191,0
5281959998_10150911553659999,"""We still don't understand: Why did this happen to us? How is our government capable of shooting its own citizens?""","Two Years After a Night of Horror, Mexican Students Seek Answers",link,http://nyti.ms/2dsSytI,2016-09-26 09:25:01,59,8,18
5281959998_10150911608124999,Many doctors don't see past the obesity.,Why Do Obese Patients Get Worse Care?,link,http://nyti.ms/2d2Wd30,2016-09-26 08:55:00,186,64,93
5281959998_10150911667124999,"""It's like nothing we've seen before,"" said an expert on North Korea's missile program.","To the Moon, North Korea? Or Does a Rocket Have a Darker Aim?",link,http://nyti.ms/2dthd11,2016-09-26 08:25:00,81,11,16
5281959998_10150911589189999,"""He doesn't have a gun,"" Rakeyia Scott said 30 seconds before her husband was shot.",Reconstructing What Happened in the Shooting of Keith Scott,link,http://nyti.ms/2d2Sy5d,2016-09-26 07:55:00,179,131,52
5281959998_10150911612439999,"Just as Donald J. Trump will undermine his prospects if he hurls insults at Hillary Clinton, she must mask her contempt for him and persuade, not scold, voters.",Presidential Debate: What to Watch For as Hillary Clinton and Donald Trump Face Off,link,http://nyti.ms/2d31qrw,2016-09-26 07:25:00,463,163,100
5281959998_10150911552359999,"""I am racially black and I live in America, which raises the question: Will I live as long as I intend?"" Read on in The New York Times Opinion Section.",I’m Black. Does America Have a Plan for My Life?,link,http://nyti.ms/2dsQ9PJ,2016-09-26 06:55:00,271,147,108
5281959998_10150911559994999,Hillary Clinton and Donald J. Trump are more sharply opposed over racial and gender issues than any two presidential opponents in decades.,First Clinton-Trump Debate Is Framed by Rifts Over Race and Gender,link,http://nyti.ms/2dsTyy3,2016-09-26 06:25:00,216,93,55
5281959998_10150911580659999,"The migrant camp in Calais, known as the Jungle, is larger than ever.",Inside France’s ‘Jungle’: Desperate Migrants Keep Coming to Calais,link,http://nyti.ms/2d2PwOH,2016-09-26 05:55:00,78,24,19
5281959998_10150911591554999,Daily Briefing: Here's what you need to know today.,"Presidential Debate, Aleppo, Arnold Palmer: Your Monday Briefing",link,http://nyti.ms/2d2UOcM,2016-09-26 05:30:01,83,27,12
5281959998_10150911569639999,"The refugee children, parents said, might have contagious diseases. And cultural differences, they said, might disrupt learning.",Plan to Let Migrant Children Attend School Enrages Many Greeks,link,http://nyti.ms/2dsXXRk,2016-09-26 04:55:00,144,67,54
5281959998_10150911569494999,The Syrians and Russians seem to be mobilizing to apply their kill-all-who-resist strategy to retake all of Aleppo.,"In Push on Aleppo, Syria and Russia Seem Ready to Further Scorch Its Earth",link,http://nyti.ms/2dsUzWB,2016-09-26 04:29:00,88,51,56
5281959998_10150911550034999,Poverty declined among every group in the U.S. But African-Americans and Hispanics experienced the largest improvement.,"Millions in U.S. Climb Out of Poverty, at Long Last",link,http://nyti.ms/2dsT3Uk,2016-09-26 03:55:00,5885,158,1860
5281959998_10150911549419999,The image of Michelle Obama hugging George W. Bush became an instant metaphor.,"For Some, Bush-Obama Rapport Recalls a Lost Virtue: Political Civility",link,http://nyti.ms/2dsR2rs,2016-09-26 03:25:01,32042,537,3854
